source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:MF,GO:0002039,p53 binding,4.5538574946659274e-11,True,"""Binding to one of the p53 family of proteins."" [GOC:hjd]",69,10,6,20212,0.6,0.08695652173913043,query_1,['GO:0005515']
REAC,REAC:R-HSA-3700989,Transcriptional Regulation by TP53,1.1574243643457733e-10,True,Transcriptional Regulation by TP53,359,10,9,10842,0.9,0.025069637883008356,query_1,['REAC:R-HSA-212436']
REAC,REAC:R-HSA-5633007,Regulation of TP53 Activity,4.246290798781711e-09,True,Regulation of TP53 Activity,160,10,7,10842,0.7,0.04375,query_1,['REAC:R-HSA-3700989']
GO:BP,GO:0097193,intrinsic apoptotic signaling pathway,2.175351536078652e-08,True,"""The series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway starts with reception of an intracellular signal (e.g. DNA damage, endoplasmic reticulum stress, oxidative stress etc.), and ends when the execution phase of apoptosis is triggered. The intrinsic apoptotic signaling pathway is crucially regulated by permeabilization of the mitochondrial outer membrane (MOMP)."" [GOC:mtg_apoptosis, GOC:yaf, PMID:11919192, PMID:17340152, PMID:18852119]",315,10,7,21031,0.7,0.022222222222222223,query_1,"['GO:0035556', 'GO:0097190']"
GO:BP,GO:0034605,cellular response to heat,6.082699232605227e-08,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."" [GOC:mah]",63,10,5,21031,0.5,0.07936507936507936,query_1,"['GO:0009408', 'GO:0033554']"
REAC,REAC:R-HSA-6804760,Regulation of TP53 Activity through Methylation,3.8603680302612745e-07,True,Regulation of TP53 Activity through Methylation,19,10,4,10842,0.4,0.21052631578947367,query_1,['REAC:R-HSA-5633007']
KEGG,KEGG:04110,Cell cycle,4.4247768255043413e-07,True,Cell cycle,157,10,6,8484,0.6,0.03821656050955414,query_1,['KEGG:00000']
REAC,REAC:R-HSA-6803204,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,4.823321034771129e-07,True,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,20,10,4,10842,0.4,0.2,query_1,['REAC:R-HSA-5633008']
GO:BP,GO:0009408,response to heat,6.145426725508488e-07,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism."" [GOC:lr]",99,10,5,21031,0.5,0.050505050505050504,query_1,"['GO:0006950', 'GO:0009266']"
REAC,REAC:R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,7.453139895244906e-07,True,SUMO E3 ligases SUMOylate target proteins,170,10,6,10842,0.6,0.03529411764705882,query_1,['REAC:R-HSA-2990846']
REAC,REAC:R-HSA-74160,Gene expression (Transcription),7.752184428856454e-07,True,Gene expression (Transcription),1518,10,10,10842,1.0,0.006587615283267457,query_1,['REAC:0000000']
REAC,REAC:R-HSA-2990846,SUMOylation,9.18801253223428e-07,True,SUMOylation,176,10,6,10842,0.6,0.03409090909090909,query_1,['REAC:R-HSA-597592']
CORUM,CORUM:98,p300-MDM2-p53 protein complex,1.3571833766668772e-06,True,p300-MDM2-p53 protein complex,3,8,3,3383,0.375,1.0,query_1,['CORUM:0000000']
REAC,REAC:R-HSA-3371556,Cellular response to heat stress,1.987073370186121e-06,True,Cellular response to heat stress,87,10,5,10842,0.5,0.05747126436781609,query_1,['REAC:R-HSA-2262752']
