stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000212015,9606.ENSP00000254719,SIRT1,RPA1,9606,0.412,0,0,0,0.089,0.317,0,0.13
9606.ENSP00000212015,9606.ENSP00000258149,SIRT1,MDM2,9606,0.699,0,0,0,0,0.292,0,0.592
9606.ENSP00000212015,9606.ENSP00000262367,SIRT1,CREBBP,9606,0.754,0,0,0,0.088,0.101,0,0.724
9606.ENSP00000212015,9606.ENSP00000335153,SIRT1,HSP90AA1,9606,0.803,0,0,0,0.047,0.394,0,0.686
9606.ENSP00000212015,9606.ENSP00000278616,SIRT1,ATM,9606,0.856,0,0,0,0.049,0,0,0.855
9606.ENSP00000212015,9606.ENSP00000263253,SIRT1,EP300,9606,0.972,0,0,0,0.138,0.698,0,0.902
9606.ENSP00000212015,9606.ENSP00000269305,SIRT1,TP53,9606,0.999,0,0,0,0,0.886,0.9,0.99
9606.ENSP00000254719,9606.ENSP00000263253,RPA1,EP300,9606,0.466,0,0,0,0.047,0.133,0,0.406
9606.ENSP00000254719,9606.ENSP00000278616,RPA1,ATM,9606,0.928,0,0,0,0.047,0.66,0.5,0.611
9606.ENSP00000254719,9606.ENSP00000269305,RPA1,TP53,9606,0.999,0,0,0,0.117,0.982,0.4,0.932
9606.ENSP00000258149,9606.ENSP00000262367,MDM2,CREBBP,9606,0.909,0,0,0,0.122,0.625,0,0.746
9606.ENSP00000258149,9606.ENSP00000335153,MDM2,HSP90AA1,9606,0.909,0,0,0,0.049,0.539,0,0.81
9606.ENSP00000258149,9606.ENSP00000340989,MDM2,SFN,9606,0.989,0,0,0,0,0.948,0,0.799
9606.ENSP00000258149,9606.ENSP00000278616,MDM2,ATM,9606,0.995,0,0,0,0.092,0.621,0.75,0.955
9606.ENSP00000258149,9606.ENSP00000266000,MDM2,DAXX,9606,0.995,0,0,0,0.047,0.842,0.5,0.953
9606.ENSP00000258149,9606.ENSP00000263253,MDM2,EP300,9606,0.999,0,0,0,0.152,0.82,0,0.994
9606.ENSP00000258149,9606.ENSP00000269305,MDM2,TP53,9606,0.999,0,0,0,0.116,0.999,0.9,0.999
9606.ENSP00000262367,9606.ENSP00000335153,CREBBP,HSP90AA1,9606,0.415,0,0.005,0,0.066,0,0,0.398
9606.ENSP00000262367,9606.ENSP00000278616,CREBBP,ATM,9606,0.497,0,0,0,0.06,0,0,0.487
9606.ENSP00000262367,9606.ENSP00000266000,CREBBP,DAXX,9606,0.842,0,0,0,0.055,0.634,0,0.579
9606.ENSP00000262367,9606.ENSP00000269305,CREBBP,TP53,9606,0.999,0,0,0,0,0.998,0.9,0.996
9606.ENSP00000262367,9606.ENSP00000263253,CREBBP,EP300,9606,0.999,0,0,0.062,0.839,0.782,0.9,0.983
9606.ENSP00000263253,9606.ENSP00000341957,EP300,TP53BP2,9606,0.413,0,0,0,0.06,0.292,0,0.189
9606.ENSP00000263253,9606.ENSP00000335153,EP300,HSP90AA1,9606,0.809,0,0.003,0,0.066,0.292,0.5,0.49
9606.ENSP00000263253,9606.ENSP00000278616,EP300,ATM,9606,0.904,0,0,0,0.074,0,0,0.9
9606.ENSP00000263253,9606.ENSP00000269305,EP300,TP53,9606,0.999,0,0,0,0.049,0.999,0.9,0.998
9606.ENSP00000266000,9606.ENSP00000278616,DAXX,ATM,9606,0.813,0,0,0,0.103,0.314,0,0.72
9606.ENSP00000266000,9606.ENSP00000269305,DAXX,TP53,9606,0.999,0,0,0,0.122,0.895,0.9,0.952
9606.ENSP00000269305,9606.ENSP00000340989,TP53,SFN,9606,0.999,0,0,0,0,0.981,0.75,0.859
9606.ENSP00000269305,9606.ENSP00000335153,TP53,HSP90AA1,9606,0.999,0,0,0,0,0.903,0,0.995
9606.ENSP00000269305,9606.ENSP00000278616,TP53,ATM,9606,0.999,0,0,0,0.103,0.928,0.9,0.975
9606.ENSP00000269305,9606.ENSP00000341957,TP53,TP53BP2,9606,0.999,0,0,0,0,0.988,0.5,0.996
9606.ENSP00000278616,9606.ENSP00000340989,ATM,SFN,9606,0.604,0,0,0,0.042,0.313,0,0.447
9606.ENSP00000278616,9606.ENSP00000335153,ATM,HSP90AA1,9606,0.785,0,0,0,0.042,0,0,0.785
9606.ENSP00000335153,9606.ENSP00000340989,HSP90AA1,SFN,9606,0.45,0,0,0,0.126,0.177,0,0.296
